serviceapprovalgranteddate, qualityarea3rating, phone, numberofapprovedplaces, fax, provider_approval_number, overallrating, providerlegalname, servicename, state, qualityarea6rating, qualityarea2rating, qualityarea7rating, serviceaddress, postcode, qualityarea4rating, conditions_on_approval, serviceapprovalnumber, qualityarea1rating, suburb, ogc_fid, qualityarea5rating, email_address
"2013-08-07T00:00:00.000+0000","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","0429 110 156                                                                                                                                                                                                                                                   ",60.0,"02 9407 7020                                                                                                                                                                                                                                                   ","PR-00005088                                                                                                                                                                                                                                                    ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","Catholic Out of School Hours Care Sacred Heart Mt Druitt South                                                                                                                                                                                                 ","Catholic Out of School Hours Care Sacred Heart Mt Druitt South                                                                                                                                                                                                 ","NSW                                                                                                                                                                                                                                                            ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","25 Nelson Street                                                                                                                                                                                                                                               ",2770.0,"Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ",null,"SE-00013377                                                                                                                                                                                                                                                    ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","MOUNT DRUITT SOUTH                                                                                                                                                                                                                                             ",3276,"Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","COSHC.SacredHeartMtDruitt@parra.catholic.edu.au                                                                                                                                                                                                                "
"2008-12-13T00:00:00.000+0000","Working Towards NQS                                                                                                                                                                                                                                            ","02 9864 5888                                                                                                                                                                                                                                                   ",23.0,"02 9864 5888                                                                                                                                                                                                                                                   ","PR-00005068                                                                                                                                                                                                                                                    ","Working Towards NQS                                                                                                                                                                                                                                            ","Colour UR Child's World Early Learning Centre                                                                                                                                                                                                                  ","Colour UR Child's World Early Learning Centre                                                                                                                                                                                                                  ","NSW                                                                                                                                                                                                                                                            ","Meeting NQS                                                                                                                                                                                                                                                    ","Meeting NQS                                                                                                                                                                                                                                                    ","Working Towards NQS                                                                                                                                                                                                                                            ","107 Rooty Hill Road North                                                                                                                                                                                                                                      ",2766.0,"Meeting NQS                                                                                                                                                                                                                                                    ",null,"SE-00006994                                                                                                                                                                                                                                                    ","Working Towards NQS                                                                                                                                                                                                                                            ","ROOTY HILL                                                                                                                                                                                                                                                     ",3499,"Meeting NQS                                                                                                                                                                                                                                                    ","alice.roseofsharon@live.com.au                                                                                                                                                                                                                                 "
"2008-06-09T00:00:00.000+0000","Working Towards NQS                                                                                                                                                                                                                                            ","02 9832 0113                                                                                                                                                                                                                                                   ",86.0,null,"PR-00005130                                                                                                                                                                                                                                                    ","Working Towards NQS                                                                                                                                                                                                                                            ","Connie's Childcare Centre (Mt Druitt)                                                                                                                                                                                                                          ","Connie's Childcare Centre (Mt Druitt)                                                                                                                                                                                                                          ","NSW                                                                                                                                                                                                                                                            ","Working Towards NQS                                                                                                                                                                                                                                            ","Working Towards NQS                                                                                                                                                                                                                                            ","Working Towards NQS                                                                                                                                                                                                                                            ","Cnr Lisbon Street and Carlistle Avenue                                                                                                                                                                                                                         ",2770.0,"Working Towards NQS                                                                                                                                                                                                                                            ",null,"SE-00007007                                                                                                                                                                                                                                                    ","Working Towards NQS                                                                                                                                                                                                                                            ","MOUNT DRUITT                                                                                                                                                                                                                                                   ",3534,"Meeting NQS                                                                                                                                                                                                                                                    ",null
"2008-09-29T00:00:00.000+0000","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","02 9625 8112                                                                                                                                                                                                                                                   ",20.0,"02 9832 2412                                                                                                                                                                                                                                                   ","PR-00005345                                                                                                                                                                                                                                                    ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Eastern Creek Public School Preschool                                                                                                                                                                                                                          ","Eastern Creek Public School Preschool                                                                                                                                                                                                                          ","NSW                                                                                                                                                                                                                                                            ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Rooty Hill Road South                                                                                                                                                                                                                                          ",2766.0,"Provisional _ Not yet assessed                                                                                                                                                                                                                                 ",null,"SE-00007159                                                                                                                                                                                                                                                    ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","EASTERN CREEK                                                                                                                                                                                                                                                  ",3850,"Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","easterncrk-p.School@det.nsw.edu.au                                                                                                                                                                                                                             "
"2009-03-30T00:00:00.000+0000","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","02 8807 8258                                                                                                                                                                                                                                                   ",24.0,"02 8807 8271                                                                                                                                                                                                                                                   ","PR-00004112                                                                                                                                                                                                                                                    ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Five Senses Childcare                                                                                                                                                                                                                                          ","Five Senses Childcare                                                                                                                                                                                                                                          ","NSW                                                                                                                                                                                                                                                            ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","14 Bennett Road                                                                                                                                                                                                                                                ",2760.0,"Provisional _ Not yet assessed                                                                                                                                                                                                                                 ",null,"SE-00007281                                                                                                                                                                                                                                                    ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","COLYTON                                                                                                                                                                                                                                                        ",4154,"Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","fivesenses@optusnet.com.au                                                                                                                                                                                                                                     "
"2013-12-12T00:00:00.000+0000","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","296286792                                                                                                                                                                                                                                                      ",0.0,null,"PR-40001298                                                                                                                                                                                                                                                    ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","Famous Kids Family Day Care                                                                                                                                                                                                                                    ","Famous Kids Family Day Care                                                                                                                                                                                                                                    ","NSW                                                                                                                                                                                                                                                            ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","U 5  52 Chestnut Crescent                                                                                                                                                                                                                                      ",2770.0,"Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 "," The approved provider must employ at least 1 full time family day care co-ordinator for every 15 family day care educators providing education and care for children. The approved provider must ensure that the maximum number of family day care educators that may be employed or engaged by the service is 60.","SE-40001403                                                                                                                                                                                                                                                    ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","BIDWILL                                                                                                                                                                                                                                                        ",4250,"Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","phoebemanasseh@hotmail.com                                                                                                                                                                                                                                     "
"2013-08-01T00:00:00.000+0000","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","0416 135 472                                                                                                                                                                                                                                                   ",45.0,null,"PR-00004024                                                                                                                                                                                                                                                    ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Goddard Crescent Vacation Care Centre                                                                                                                                                                                                                          ","Goddard Crescent Vacation Care Centre                                                                                                                                                                                                                          ","NSW                                                                                                                                                                                                                                                            ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Glendenning Neighbourhood Centre  48 Golding Drive                                                                                                                                                                                                             ",2761.0,"Provisional _ Not yet assessed                                                                                                                                                                                                                                 ",null,"SE-00013443                                                                                                                                                                                                                                                    ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","GLENDENNING                                                                                                                                                                                                                                                    ",4430,"Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","narelle.clarke@blacktown.nsw.gov.au                                                                                                                                                                                                                            "
"2013-10-30T00:00:00.000+0000","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","296256296                                                                                                                                                                                                                                                      ",0.0,null,"PR-40001198                                                                                                                                                                                                                                                    ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","Funtastic Family Day Care                                                                                                                                                                                                                                      ","Funtastic Family Day Care                                                                                                                                                                                                                                      ","NSW                                                                                                                                                                                                                                                            ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","19 Elizabeth St                                                                                                                                                                                                                                                ",2766.0,"Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 "," The approved provider must employ at least 1 full time family day care co-ordinator for every 15 family day care educators providing education and care for children. The approved provider must ensure that the maximum number of family day care educators that may be employed or engaged by the service is 30.","SE-40001311                                                                                                                                                                                                                                                    ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","ROOTY HILL                                                                                                                                                                                                                                                     ",4497,"Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","hamnazeem@hotmail.com                                                                                                                                                                                                                                          "
"2013-10-30T00:00:00.000+0000","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","298321103                                                                                                                                                                                                                                                      ",0.0,null,"PR-40000930                                                                                                                                                                                                                                                    ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","G'Day Family Day Care                                                                                                                                                                                                                                          ","G'Day Family Day Care                                                                                                                                                                                                                                          ","NSW                                                                                                                                                                                                                                                            ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","37 Debbie Cct                                                                                                                                                                                                                                                  ",2770.0,"Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 "," The approved provider must employ at least 1 full time family day care co-ordinator for every 15 family day care educators providing education and care for children. The approved provider must ensure that the maximum number of family day care educators that may be employed or engaged by the service is 20.","SE-40001190                                                                                                                                                                                                                                                    ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","MOUNT DRUITT                                                                                                                                                                                                                                                   ",4581,"Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","ashadahir_@hotmail.com                                                                                                                                                                                                                                         "
"2007-02-13T00:00:00.000+0000","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","02 9677 0590                                                                                                                                                                                                                                                   ",40.0,"02 9677 1287                                                                                                                                                                                                                                                   ","PR-00004024                                                                                                                                                                                                                                                    ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Glendenning Pre School                                                                                                                                                                                                                                         ","Glendenning Pre School                                                                                                                                                                                                                                         ","NSW                                                                                                                                                                                                                                                            ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","48 Golding Drive                                                                                                                                                                                                                                               ",2761.0,"Provisional _ Not yet assessed                                                                                                                                                                                                                                 ",null,"SE-00007355                                                                                                                                                                                                                                                    ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","GLENDENNING                                                                                                                                                                                                                                                    ",4700,"Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Patrice.Keegan@blacktown.nsw.gov.au                                                                                                                                                                                                                            "
